"First Name (required)","Last Name (required)","Title","Company","Description","Image URL","Website","Twitter Handle","Facebook URL","LinkedIn URL","Session IDs","Attendee ID","Speaker ID"
"Michael","Mattmiller","Chief Technology Officer","City of Seattle","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/michael-mattmiller.jpg","","","","","breakout_113,breakout_167","","michael-mattmiller"
"Ryan","Calo","Assistant Professor of Law","University of Washington","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/ryan-calo.jpg","","","","","breakout_113","","ryan-calo"
"Dawn","McDougall","Co-Captain","Code for Philly","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/dawn-mcdougall.jpg","","","","","breakout_114","","dawn-mcdougall"
"Chris","Alfano","Co-Captain","Code for Philly","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/chris-alfano.jpg","","","","","breakout_114","","chris-alfano"
"Colleen","Cotter","User Experience Lead","Code for America","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/colleen-cotter.jpg","","","","","breakout_115","","colleen-cotter"
"Anne","Schwieger","Founder","Digital Equity Project","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/anne-schwieger.jpg","","","","","breakout_116","","anne-schwieger"
"Deb","Socia","Executive Director","Next Century Cities","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/deb-socia.jpg","","","","","breakout_116","","deb-socia"
"Denise","Linn","Program Analyst","Smart Chicago Collaborative","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/denise-linn.jpg","","","","","breakout_116","","denise-linn"
"Demond","Drummer","Founder","CoderSpace","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/demond-drummer.jpg","","","","","breakout_116","","demond-drummer"
"Chike","Aguh","Chief Program Officer","EveryoneOn","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/chike-aguh.jpg","","","","","breakout_116","","chike-aguh"
"Susan","Mernit","Co-founder and CEO","Hack the Hood","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/susan-mernit.jpg","","","","","breakout_116","","susan-mernit"
"Frances","Berriman","Interim Director of Communications & Engagement","Code for America","","http://codeforamerica.org/media/images/people/frances-berriman.jpg","","","","","breakout_117","","frances-berriman"
"Joseph","Curtatone","Mayor","City of Somerville","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/joseph-curtatone.jpg","","","","","breakout_118","","joseph-curtatone"
"Daniel","Hadley","Chief of Staff","City of Somerville","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/daniel-hadley.jpg","","","","","breakout_118,breakout_125","","daniel-hadley"
"Denise","Taylor","Director of Communications","City of Somerville","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/denise-taylor.jpg","","","","","breakout_118","","denise-taylor"
"Skye","Stewart","Director of Innovation and Analytics","City of Somerville","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/skye-stewart.jpg","","","","","breakout_118","","skye-stewart"
"Mary","Hampton","Senior Organizational Performance Analyst","Louisville Metro Government ","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/mary-hampton.jpg","","","","","breakout_119","","mary-hampton"
"Christopher","Cabaldon","Mayor","City of West Sacramento","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/christopher-cabaldon.jpg","","","","","breakout_120","","christopher-cabaldon"
